iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
211	0.6341064203	0.6430266673	0.6798039047
212	0.6340884903	0.6430429144	0.6797660618
213	0.634081247	0.6430449948	0.679769502
214	0.63406464	0.6430754085	0.6796903758
215	0.6340143926	0.6431256356	0.6798899114
216	0.6339996921	0.6431148372	0.679807345
217	0.6339818178	0.643110082	0.6798383074
218	0.6339514488	0.6431959733	0.6799415154
219	0.6339360967	0.6432552156	0.6797935839
220	0.6339006095	0.6432045922	0.6800722456
221	0.6338758282	0.6432414452	0.6801720134
222	0.6338530696	0.6432015211	0.6800412832
223	0.6338483352	0.643191119	0.6800240819
224	0.6338421114	0.6432444172	0.6799827987
225	0.6338283222	0.6432464977	0.6799862389
226	0.6338196262	0.6432713636	0.6800791262
227	0.6338090186	0.6432459033	0.6800240819
228	0.6337831774	0.643345664	0.6802408188
229	0.6337633677	0.6433512118	0.6792534618
230	0.6337409894	0.6433411069	0.6793532296
231	0.6337236017	0.6433332806	0.6798967919
232	0.633676548	0.6434940668	0.6801238497
233	0.6336418644	0.6435242824	0.6801479315
234	0.6336073313	0.6434478024	0.6800344027
235	0.6335891578	0.6434289796	0.6797832631
236	0.6335671871	0.643487033	0.6802545799
237	0.6335553203	0.6435391424	0.6802889825
238	0.6335353922	0.6435220038	0.6802476993
239	0.6335268266	0.6435229945	0.6802752215
240	0.6335003161	0.6435745095	0.6803474671
241	0.6334722437	0.6436285012	0.6796731745
242	0.6334601539	0.643622359	0.6796112497
243	0.6334348959	0.6437169682	0.6797935839
244	0.6334258634	0.6437044858	0.6797729423
245	0.6334219222	0.6436805115	0.6797591812
246	0.6334197671	0.6436763507	0.6797523007
247	0.6333759992	0.6436463333	0.6796250108
248	0.6333572934	0.6436890313	0.6796697342
249	0.6333475992	0.643716671	0.6796766148
250	0.6333357658	0.6436921024	0.6799724779
251	0.633308524	0.6437415369	0.679769502
252	0.6332824937	0.6438382266	0.6796834953
253	0.6332684289	0.6438596252	0.679680055
254	0.6332545556	0.6438924164	0.6797213383
255	0.6332437471	0.6438820144	0.6797041369
256	0.6332344746	0.6438835994	0.6796938161
257	0.6332285239	0.643897667	0.6797041369
258	0.6332234104	0.6438799339	0.6797006967
259	0.6331981716	0.6438757731	0.6796938161
260	0.6331796079	0.6438692347	0.679294745
261	0.6331667356	0.64386973	0.6793085061
262	0.6331567757	0.6438978651	0.6793291477
263	0.6331419429	0.6439082672	0.679346349
264	0.6331226916	0.6439503708	0.6794289155
265	0.6330969359	0.6440058485	0.6798830309
266	0.6330736856	0.643990493	0.6797282188
267	0.633052777	0.6439965361	0.6798417477
268	0.6330331149	0.6439949511	0.6798520685
269	0.6330083455	0.6440722236	0.6798245463
270	0.6329945546	0.6440603355	0.6797660618
271	0.6329809187	0.6440795545	0.6798107852
272	0.6329772716	0.6440837154	0.6798176658
273	0.6329699303	0.6440647935	0.6798899114
274	0.6329663159	0.6440804461	0.6798899114
275	0.6329589304	0.6440644963	0.6797729423
276	0.6329169117	0.6441248283	0.6801444913
277	0.6329063844	0.6441165066	0.6801307302
278	0.6328890138	0.6440369556	0.6797144577
279	0.6328725391	0.6440510232	0.6797247785
280	0.6328676976	0.6440572644	0.6797350993
281	0.6328581927	0.6440853995	0.6797557409
282	0.6328445229	0.6440927305	0.6797419799
283	0.6328358172	0.6441010521	0.6797557409
284	0.632827157	0.6441088785	0.6797557409
285	0.6328083627	0.6440552831	0.679680055
286	0.632788145	0.6440948109	0.6797454201
287	0.6327830316	0.6440984764	0.6797385396
288	0.6327598638	0.6441161104	0.6797935839
289	0.6327499541	0.6441882314	0.6797316591
290	0.632741096	0.6442022989	0.6797419799
291	0.6327275535	0.6442246881	0.6797660618
292	0.6327131621	0.644256885	0.6798451879
293	0.6327036442	0.6441902127	0.6797867034
294	0.6326939781	0.6442683768	0.6798383074
295	0.6326765582	0.6443110748	0.6798830309
296	0.6326616897	0.6443194955	0.6798451879
297	0.6326359017	0.6443298976	0.6798623893
298	0.6326150005	0.6443587262	0.6800653651
299	0.6325925376	0.6443660571	0.680051604
300	0.632578568	0.6443124617	0.6799759181
301	0.6325730736	0.6443286097	0.6799896792
302	0.6325560615	0.6443657599	0.6799346349
303	0.6325504353	0.6443532775	0.6799139933
304	0.6325206605	0.6443825023	0.679910553
305	0.6324995687	0.6444083589	0.6797591812
306	0.6324746942	0.6444113309	0.6798417477
307	0.6324593987	0.6445010859	0.6798348671
308	0.6324421983	0.6444940521	0.6802373785
309	0.6324369643	0.6445049495	0.6802683409
310	0.63242823	0.6444950428	0.6802649007
311	0.6324209126	0.6445487372	0.6802889825
312	0.6324045466	0.6445059402	0.6800240819
313	0.6324011754	0.6445091103	0.6800034403
314	0.6323901144	0.6445413072	0.6803543476
315	0.6323496551	0.6446239293	0.6802580201
316	0.6323377899	0.6446296752	0.6802545799
317	0.632320583	0.6446718779	0.6802855423
318	0.632313514	0.644710316	0.6806467704
319	0.6323098705	0.6446963475	0.6805848456
320	0.6323031175	0.6446729676	0.6802614604
321	0.6322962777	0.6447124955	0.6805986067
322	0.6322874822	0.644666132	0.6805607637
323	0.6322578937	0.6446980316	0.6802511396
324	0.6322416306	0.6447204209	0.6802752215
325	0.6322290663	0.6446850538	0.6802167369
326	0.6322069656	0.6447012018	0.680230498
